,HAGA,astro,symmetric,t_stim,t_sham,t_sham_init,mex,use_thetas,stim_strength
0,True,True,True,30000,30000,1000,0.3,False,0.2
1,True,True,True,30000,30000,1000,0.3,False,0.4
2,True,True,True,30000,30000,1000,0.3,False,0.8
3,True,True,True,30000,30000,1000,0.3,False,1.0
4,True,True,True,30000,30000,1000,0.3,True,0.2
5,True,True,True,30000,30000,1000,0.3,True,0.4
6,True,True,True,30000,30000,1000,0.3,True,0.8
7,True,True,True,30000,30000,1000,0.3,True,1.0
8,True,True,True,30000,30000,30000,0.3,False,0.2
9,True,True,True,30000,30000,30000,0.3,False,0.4
10,True,True,True,30000,30000,30000,0.3,False,0.8
11,True,True,True,30000,30000,30000,0.3,False,1.0
12,True,True,True,30000,30000,30000,0.3,True,0.2
13,True,True,True,30000,30000,30000,0.3,True,0.4
14,True,True,True,30000,30000,30000,0.3,True,0.8
15,True,True,True,30000,30000,30000,0.3,True,1.0
16,True,True,True,30000,30000,1000,0.4,False,0.2
17,True,True,True,30000,30000,1000,0.4,False,0.4
18,True,True,True,30000,30000,1000,0.4,False,0.8
19,True,True,True,30000,30000,1000,0.4,False,1.0
20,True,True,True,30000,30000,1000,0.4,True,0.2
21,True,True,True,30000,30000,1000,0.4,True,0.4
22,True,True,True,30000,30000,1000,0.4,True,0.8
23,True,True,True,30000,30000,1000,0.4,True,1.0
24,True,True,True,30000,30000,30000,0.4,False,0.2
25,True,True,True,30000,30000,30000,0.4,False,0.4
26,True,True,True,30000,30000,30000,0.4,False,0.8
27,True,True,True,30000,30000,30000,0.4,False,1.0
28,True,True,True,30000,30000,30000,0.4,True,0.2
29,True,True,True,30000,30000,30000,0.4,True,0.4
30,True,True,True,30000,30000,30000,0.4,True,0.8
31,True,True,True,30000,30000,30000,0.4,True,1.0
32,True,False,True,30000,30000,1000,0.3,False,0.2
33,True,False,True,30000,30000,1000,0.3,False,0.4
34,True,False,True,30000,30000,1000,0.3,False,0.8
35,True,False,True,30000,30000,1000,0.3,False,1.0
36,True,False,True,30000,30000,1000,0.3,True,0.2
37,True,False,True,30000,30000,1000,0.3,True,0.4
38,True,False,True,30000,30000,1000,0.3,True,0.8
39,True,False,True,30000,30000,1000,0.3,True,1.0
40,True,False,True,30000,30000,30000,0.3,False,0.2
41,True,False,True,30000,30000,30000,0.3,False,0.4
42,True,False,True,30000,30000,30000,0.3,False,0.8
43,True,False,True,30000,30000,30000,0.3,False,1.0
44,True,False,True,30000,30000,30000,0.3,True,0.2
45,True,False,True,30000,30000,30000,0.3,True,0.4
46,True,False,True,30000,30000,30000,0.3,True,0.8
47,True,False,True,30000,30000,30000,0.3,True,1.0
48,True,False,True,30000,30000,1000,0.4,False,0.2
49,True,False,True,30000,30000,1000,0.4,False,0.4
50,True,False,True,30000,30000,1000,0.4,False,0.8
51,True,False,True,30000,30000,1000,0.4,False,1.0
52,True,False,True,30000,30000,1000,0.4,True,0.2
53,True,False,True,30000,30000,1000,0.4,True,0.4
54,True,False,True,30000,30000,1000,0.4,True,0.8
55,True,False,True,30000,30000,1000,0.4,True,1.0
56,True,False,True,30000,30000,30000,0.4,False,0.2
57,True,False,True,30000,30000,30000,0.4,False,0.4
58,True,False,True,30000,30000,30000,0.4,False,0.8
59,True,False,True,30000,30000,30000,0.4,False,1.0
60,True,False,True,30000,30000,30000,0.4,True,0.2
61,True,False,True,30000,30000,30000,0.4,True,0.4
62,True,False,True,30000,30000,30000,0.4,True,0.8
63,True,False,True,30000,30000,30000,0.4,True,1.0
