,HAGA,astro,symmetric,t_sham,Cd,Cp,taustf,taustd,repetition
0,True,True,True,1400000,0.02,0.14,350.0,250.0,0
1,True,True,True,1400000,0.02,0.14,350.0,250.0,1
2,True,True,True,1400000,0.02,0.14,350.0,250.0,2
3,True,True,True,1400000,0.02,0.14,350.0,250.0,3
4,True,True,True,1400000,0.02,0.14,350.0,250.0,4
5,True,True,True,1400000,0.02,0.14,350.0,250.0,5
6,True,True,True,1400000,0.02,0.14,350.0,250.0,6
7,True,True,True,1400000,0.02,0.14,350.0,250.0,7
8,True,True,True,1400000,0.02,0.14,350.0,250.0,8
9,True,True,True,1400000,0.02,0.14,350.0,250.0,9
10,True,False,True,1400000,0.02,0.14,350.0,250.0,0
11,True,False,True,1400000,0.02,0.14,350.0,250.0,1
12,True,False,True,1400000,0.02,0.14,350.0,250.0,2
13,True,False,True,1400000,0.02,0.14,350.0,250.0,3
14,True,False,True,1400000,0.02,0.14,350.0,250.0,4
15,True,False,True,1400000,0.02,0.14,350.0,250.0,5
16,True,False,True,1400000,0.02,0.14,350.0,250.0,6
17,True,False,True,1400000,0.02,0.14,350.0,250.0,7
18,True,False,True,1400000,0.02,0.14,350.0,250.0,8
19,True,False,True,1400000,0.02,0.14,350.0,250.0,9
20,False,True,True,1400000,0.02,0.14,350.0,250.0,0
21,False,True,True,1400000,0.02,0.14,350.0,250.0,1
22,False,True,True,1400000,0.02,0.14,350.0,250.0,2
23,False,True,True,1400000,0.02,0.14,350.0,250.0,3
24,False,True,True,1400000,0.02,0.14,350.0,250.0,4
25,False,True,True,1400000,0.02,0.14,350.0,250.0,5
26,False,True,True,1400000,0.02,0.14,350.0,250.0,6
27,False,True,True,1400000,0.02,0.14,350.0,250.0,7
28,False,True,True,1400000,0.02,0.14,350.0,250.0,8
29,False,True,True,1400000,0.02,0.14,350.0,250.0,9
30,False,False,True,1400000,0.02,0.14,350.0,250.0,0
31,False,False,True,1400000,0.02,0.14,350.0,250.0,1
32,False,False,True,1400000,0.02,0.14,350.0,250.0,2
33,False,False,True,1400000,0.02,0.14,350.0,250.0,3
34,False,False,True,1400000,0.02,0.14,350.0,250.0,4
35,False,False,True,1400000,0.02,0.14,350.0,250.0,5
36,False,False,True,1400000,0.02,0.14,350.0,250.0,6
37,False,False,True,1400000,0.02,0.14,350.0,250.0,7
38,False,False,True,1400000,0.02,0.14,350.0,250.0,8
39,False,False,True,1400000,0.02,0.14,350.0,250.0,9
