,HAGA,astro,symmetric,Cd,Cp,taustf,taustd,repetition,t_sham_pre,t_sham_post,t_perturb,n_perturb
0,True,True,True,0.02,0.14,350.0,350.0,0,10000,380000,10000,50
1,True,True,True,0.02,0.14,350.0,350.0,1,10000,380000,10000,50
2,True,True,True,0.02,0.14,350.0,350.0,2,10000,380000,10000,50
3,True,True,True,0.02,0.14,350.0,350.0,3,10000,380000,10000,50
4,True,True,True,0.02,0.14,350.0,350.0,4,10000,380000,10000,50
5,True,True,True,0.02,0.14,350.0,350.0,0,10000,380000,10000,100
6,True,True,True,0.02,0.14,350.0,350.0,1,10000,380000,10000,100
7,True,True,True,0.02,0.14,350.0,350.0,2,10000,380000,10000,100
8,True,True,True,0.02,0.14,350.0,350.0,3,10000,380000,10000,100
9,True,True,True,0.02,0.14,350.0,350.0,4,10000,380000,10000,100
10,True,True,True,0.02,0.14,350.0,350.0,0,10000,380000,10000,200
11,True,True,True,0.02,0.14,350.0,350.0,1,10000,380000,10000,200
12,True,True,True,0.02,0.14,350.0,350.0,2,10000,380000,10000,200
13,True,True,True,0.02,0.14,350.0,350.0,3,10000,380000,10000,200
14,True,True,True,0.02,0.14,350.0,350.0,4,10000,380000,10000,200
15,True,True,True,0.02,0.14,350.0,350.0,0,10000,380000,10000,300
16,True,True,True,0.02,0.14,350.0,350.0,1,10000,380000,10000,300
17,True,True,True,0.02,0.14,350.0,350.0,2,10000,380000,10000,300
18,True,True,True,0.02,0.14,350.0,350.0,3,10000,380000,10000,300
19,True,True,True,0.02,0.14,350.0,350.0,4,10000,380000,10000,300
20,True,True,True,0.02,0.14,350.0,350.0,0,10000,340000,50000,50
21,True,True,True,0.02,0.14,350.0,350.0,1,10000,340000,50000,50
22,True,True,True,0.02,0.14,350.0,350.0,2,10000,340000,50000,50
23,True,True,True,0.02,0.14,350.0,350.0,3,10000,340000,50000,50
24,True,True,True,0.02,0.14,350.0,350.0,4,10000,340000,50000,50
25,True,True,True,0.02,0.14,350.0,350.0,0,10000,340000,50000,100
26,True,True,True,0.02,0.14,350.0,350.0,1,10000,340000,50000,100
27,True,True,True,0.02,0.14,350.0,350.0,2,10000,340000,50000,100
28,True,True,True,0.02,0.14,350.0,350.0,3,10000,340000,50000,100
29,True,True,True,0.02,0.14,350.0,350.0,4,10000,340000,50000,100
30,True,True,True,0.02,0.14,350.0,350.0,0,10000,340000,50000,200
31,True,True,True,0.02,0.14,350.0,350.0,1,10000,340000,50000,200
32,True,True,True,0.02,0.14,350.0,350.0,2,10000,340000,50000,200
33,True,True,True,0.02,0.14,350.0,350.0,3,10000,340000,50000,200
34,True,True,True,0.02,0.14,350.0,350.0,4,10000,340000,50000,200
35,True,True,True,0.02,0.14,350.0,350.0,0,10000,340000,50000,300
36,True,True,True,0.02,0.14,350.0,350.0,1,10000,340000,50000,300
37,True,True,True,0.02,0.14,350.0,350.0,2,10000,340000,50000,300
38,True,True,True,0.02,0.14,350.0,350.0,3,10000,340000,50000,300
39,True,True,True,0.02,0.14,350.0,350.0,4,10000,340000,50000,300
40,True,True,True,0.02,0.14,350.0,350.0,0,10000,290000,100000,50
41,True,True,True,0.02,0.14,350.0,350.0,1,10000,290000,100000,50
42,True,True,True,0.02,0.14,350.0,350.0,2,10000,290000,100000,50
43,True,True,True,0.02,0.14,350.0,350.0,3,10000,290000,100000,50
44,True,True,True,0.02,0.14,350.0,350.0,4,10000,290000,100000,50
45,True,True,True,0.02,0.14,350.0,350.0,0,10000,290000,100000,100
46,True,True,True,0.02,0.14,350.0,350.0,1,10000,290000,100000,100
47,True,True,True,0.02,0.14,350.0,350.0,2,10000,290000,100000,100
48,True,True,True,0.02,0.14,350.0,350.0,3,10000,290000,100000,100
49,True,True,True,0.02,0.14,350.0,350.0,4,10000,290000,100000,100
50,True,True,True,0.02,0.14,350.0,350.0,0,10000,290000,100000,200
51,True,True,True,0.02,0.14,350.0,350.0,1,10000,290000,100000,200
