,HAGA,astro,symmetric,Cd,Cp,taustf,taustd,repetition,t_sham_pre,t_sham_post,t_train,nass
0,True,True,True,0.02,0.14,350.0,350.0,0,10000,240000,150000,2
1,True,True,True,0.02,0.14,350.0,350.0,1,10000,240000,150000,2
2,True,True,True,0.02,0.14,350.0,350.0,2,10000,240000,150000,2
3,True,True,True,0.02,0.14,350.0,350.0,3,10000,240000,150000,2
4,True,True,True,0.02,0.14,350.0,350.0,4,10000,240000,150000,2
5,True,True,True,0.02,0.14,350.0,350.0,5,10000,240000,150000,2
6,True,True,True,0.02,0.14,350.0,350.0,6,10000,240000,150000,2
7,True,True,True,0.02,0.14,350.0,350.0,7,10000,240000,150000,2
8,True,True,True,0.02,0.14,350.0,350.0,8,10000,240000,150000,2
9,True,True,True,0.02,0.14,350.0,350.0,9,10000,240000,150000,2
10,True,True,True,0.02,0.14,350.0,350.0,0,10000,240000,150000,4
11,True,True,True,0.02,0.14,350.0,350.0,1,10000,240000,150000,4
12,True,True,True,0.02,0.14,350.0,350.0,2,10000,240000,150000,4
13,True,True,True,0.02,0.14,350.0,350.0,3,10000,240000,150000,4
14,True,True,True,0.02,0.14,350.0,350.0,4,10000,240000,150000,4
15,True,True,True,0.02,0.14,350.0,350.0,5,10000,240000,150000,4
16,True,True,True,0.02,0.14,350.0,350.0,6,10000,240000,150000,4
17,True,True,True,0.02,0.14,350.0,350.0,7,10000,240000,150000,4
18,True,True,True,0.02,0.14,350.0,350.0,8,10000,240000,150000,4
19,True,True,True,0.02,0.14,350.0,350.0,9,10000,240000,150000,4
20,True,True,True,0.02,0.14,350.0,350.0,0,10000,240000,150000,6
21,True,True,True,0.02,0.14,350.0,350.0,1,10000,240000,150000,6
22,True,True,True,0.02,0.14,350.0,350.0,2,10000,240000,150000,6
23,True,True,True,0.02,0.14,350.0,350.0,3,10000,240000,150000,6
24,True,True,True,0.02,0.14,350.0,350.0,4,10000,240000,150000,6
25,True,True,True,0.02,0.14,350.0,350.0,5,10000,240000,150000,6
26,True,True,True,0.02,0.14,350.0,350.0,6,10000,240000,150000,6
